	system_time_stamp	msg
0	1662821342899	Calibration_start
1	1662821347437	calibration point 0 at position 0.0 -0.0
2	1662825893919	calibration point 1 at position -17.30163276997995 9.732168433113722
3	1662828043975	calibration point 2 at position 17.30163276997995 -9.732168433113722
4	1662830295242	Calibration_stop
5	1662830395451	Validation_start
6	1662830893851	validation point 0 at position -12.976224577484961 -0.0
7	1662832743652	validation point 1 at position 12.976224577484963 -0.0
8	1662834727206	validation point 2 at position 0.0 -7.299126324835292
9	1662836627132	validation point 3 at position 0.0 7.2991263248352904
10	1662837960585	Validation_end
11	1662838035015	validation data quality Dev_L: 1.01, Dev_R: 2.86 RMS_L: 0.18, RMS_R: 0.07, SD_L: 0.12, SD_R: 0.05, LOSS_L: 0.00, LOSS_R: 0.01
12	1662840767722	fix on
13	1662841743799	fix off
14	1662841743959	stim on: C:/Users/defeo/PycharmProjects/Emotion_Recognition_Application/Image/beer_positioning.jpg
15	1662871743765	stim off: C:/Users/defeo/PycharmProjects/Emotion_Recognition_Application/Image/beer_positioning.jpg
