	device_time_stamp	system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	183325361	1662820840083	0.7033981084823608	1.5992876291275024	126.1068115234375	395.25152587890625	-525.9872436523438	0.5658329725265503	0.48439469933509827	0.4947654902935028	-33.32313537597656	6.66597318649292	646.4901733398438	3.8211822509765625	1	1	1	0.3549526035785675	1.435287356376648	-89.92937469482422	434.6798400878906	-486.55889892578125	0.41068577766418457	0.4954785704612732	0.486939936876297	36.949684143066406	3.0232982635498047	642.401123046875	3.765655517578125	1	1	1
1	183342015	1662820856737	0.7032822966575623	1.6023669242858887	126.0350112915039	394.5113220214844	-526.7275390625	0.5660541653633118	0.48465853929519653	0.4960477352142334	-33.45635223388672	6.582284927368164	647.1261596679688	3.8347625732421875	1	1	1	0.3508533537387848	1.4254533052444458	-92.47091674804688	437.044189453125	-484.1946105957031	0.41090068221092224	0.4956566095352173	0.4882248640060425	36.88995361328125	2.965785503387451	643.04833984375	3.7598724365234375	1	1	1
2	183358670	1662820873392	0.7033252716064453	1.6126785278320312	126.06169128417969	392.0322265625	-529.2066650390625	0.5663057565689087	0.48523589968681335	0.49678125977516174	-33.58919906616211	6.388613700866699	647.488525390625	3.8449249267578125	1	1	1	0.3521101474761963	1.4273189306259155	-91.69173431396484	436.5956726074219	-484.6432189941406	0.4111397862434387	0.4961613118648529	0.4889627695083618	36.803749084472656	2.7961199283599854	643.423583984375	3.75115966796875	1	1	1
3	183375325	1662820890047	0.7035017609596252	1.5834983587265015	126.17106628417969	399.0476379394531	-522.1912231445312	0.5665801763534546	0.4861126244068146	0.49762266874313354	-33.735137939453125	6.092941761016846	647.905029296875	3.8335418701171875	1	1	1	0.3535272181034088	1.411952257156372	-90.81314849853516	440.29010009765625	-480.94873046875	0.41139861941337585	0.4969949722290039	0.4898105561733246	36.71192932128906	2.5148394107818604	643.8546142578125	3.7562103271484375	1	1	1
4	183391979	1662820906701	0.706906795501709	1.583786129951477	128.28219604492188	398.97845458984375	-522.260498046875	0.5668337941169739	0.4864969849586487	0.4980296492576599	-33.86076354980469	5.963208198547363	648.103515625	3.842071533203125	1	1	1	0.3541810214519501	1.4002809524536133	-90.40776062011719	443.095947265625	-478.1427307128906	0.4116289019584656	0.49733394384384155	0.4902198612689972	36.61998748779297	2.400348663330078	644.0652465820312	3.770751953125	1	1	1
5	183408634	1662820923356	0.6976081132888794	1.5892795324325562	122.51703643798828	397.6576843261719	-523.5811767578125	0.567111074924469	0.48654815554618835	0.4987477958202362	-34.00556564331055	5.948668003082275	648.4556274414062	3.8471221923828125	1	1	1	0.3538525104522705	1.408984899520874	-90.6114501953125	441.00341796875	-480.2353515625	0.4118941128253937	0.49728459119796753	0.49093836545944214	36.52063751220703	2.4182159900665283	644.4306640625	3.7601776123046875	1	1	1
6	183425289	1662820940010	0.6994165778160095	1.5621615648269653	123.63825988769531	404.17724609375	-517.0615234375	0.56745845079422	0.4866088926792145	0.4988051652908325	-34.164974212646484	5.92773962020874	648.4761352539062	3.829376220703125	1	1	1	0.35711684823036194	1.4124741554260254	-88.58753967285156	440.1645202636719	-481.07421875	0.4122135639190674	0.49724820256233215	0.49099573493003845	36.37804412841797	2.4303953647613525	644.4674072265625	3.753570556640625	1	1	1
7	183441943	1662820956664	0.6998755931854248	1.552621603012085	123.92288208007812	406.4708557128906	-514.7679443359375	0.5678629279136658	0.486603319644928	0.49930310249328613	-34.36208724975586	5.931428909301758	648.7150268554688	3.8335113525390625	1	1	1	0.3582153618335724	1.402248740196228	-87.9064712524414	442.6229248046875	-478.6158447265625	0.41258856654167175	0.49716609716415405	0.4914928078651428	36.22264099121094	2.458888292312622	644.7249755859375	3.7535400390625	1	1	1
8	183458598	1662820973319	0.6978752613067627	1.5642755031585693	122.68266296386719	403.6690979003906	-517.5697021484375	0.5682741403579712	0.4865763485431671	0.4992159307003021	-34.54680252075195	5.939761161804199	648.6614990234375	3.844635009765625	1	1	1	0.355475515127182	1.3913713693618774	-89.60517883300781	445.23797607421875	-476.0007629394531	0.41296324133872986	0.49705493450164795	0.4914041757583618	36.050880432128906	2.4961631298065186	644.6901245117188	3.7489166259765625	1	1	1
9	183475253	1662820989974	0.7007954120635986	1.5696327686309814	124.4931411743164	402.38116455078125	-518.8577270507812	0.568781852722168	0.48665380477905273	0.49972179532051086	-34.79123306274414	5.914953231811523	648.9019775390625	3.833770751953125	1	1	1	0.3519614040851593	1.3904922008514404	-91.78390502929688	445.4493103027344	-475.7893981933594	0.4134353697299957	0.4970282018184662	0.491909921169281	35.85169219970703	2.5057976245880127	644.9544067382812	3.745361328125	1	1	1
10	183491908	1662821006629	0.6998201012611389	1.5889828205108643	123.88844299316406	397.7290344238281	-523.509765625	0.5692254900932312	0.4868101477622986	0.49987536668777466	-34.99710464477539	5.86161470413208	648.9683227539062	3.8394317626953125	1	1	1	0.35272446274757385	1.3908642530441284	-91.31085205078125	445.3599548339844	-475.8788146972656	0.413847416639328	0.4970868229866028	0.49206432700157166	35.66986083984375	2.4858016967773438	645.0418701171875	3.7501373291015625	1	1	1
11	183508562	1662821023283	0.7061694264411926	1.600157380104065	127.82505798339844	395.04241943359375	-526.1962890625	0.5697796940803528	0.4870564043521881	0.5003594756126404	-35.26225280761719	5.778845310211182	649.1970825195312	3.840972900390625	1	1	1	0.3625771403312683	1.403887391090393	-85.2021713256836	442.22894287109375	-479.009765625	0.414374977350235	0.49721723794937134	0.49254968762397766	35.44489288330078	2.441904067993164	645.2974853515625	3.7516632080078125	1	1	1
12	183525217	1662821039938	0.7112738490104675	1.5686006546020508	130.98980712890625	402.6291809082031	-518.6095581054688	0.5699975490570068	0.48731887340545654	0.5021020770072937	-35.40861892700195	5.696360111236572	650.0625	3.8263702392578125	1	1	1	0.36219874024391174	1.418027400970459	-85.43677520751953	438.829345703125	-482.40924072265625	0.414569616317749	0.4973491132259369	0.49429380893707275	35.40473175048828	2.4001047611236572	646.1732788085938	3.7432403564453125	1	1	1
13	183541872	1662821056593	0.7135253548622131	1.5601763725280762	132.3857421875	404.654541015625	-516.584228515625	0.5704009532928467	0.48761463165283203	0.5030502676963806	-35.61821365356445	5.598571300506592	650.5267333984375	3.83770751953125	1	1	1	0.35625705122947693	1.4148757457733154	-89.12064361572266	439.5871276855469	-481.65155029296875	0.4149397015571594	0.49752578139305115	0.49524328112602234	35.263206481933594	2.3413236141204834	646.6566772460938	3.7484130859375	1	1	1
14	183558526	1662821073247	0.7112810611724854	1.5798927545547485	130.9942626953125	399.9144287109375	-521.3244018554688	0.570713460445404	0.4878508150577545	0.5039259195327759	-35.784629821777344	5.5209059715271	650.9567260742188	3.8634490966796875	1	1	1	0.35705387592315674	1.4057109355926514	-88.6266098022461	441.7904968261719	-479.4482116699219	0.41523003578186035	0.49765729904174805	0.49612024426460266	35.15557098388672	2.297785520553589	647.101806640625	3.7536468505859375	1	1	1
15	183575181	1662821089902	0.7068519592285156	1.5880684852600098	128.24822998046875	397.94891357421875	-523.2899780273438	0.5711266994476318	0.48785221576690674	0.5046922564506531	-35.99435806274414	5.523157596588135	651.3289184570312	3.8644256591796875	1	1	1	0.3571281433105469	1.405206561088562	-88.58055114746094	441.91180419921875	-479.32696533203125	0.4156253933906555	0.49755778908729553	0.4968864619731903	34.99693298339844	2.3327436447143555	647.4939575195312	3.75604248046875	1	1	1
16	183591836	1662821106556	0.7068495154380798	1.5752280950546265	128.24668884277344	401.035888671875	-520.2029418945312	0.571503221988678	0.487716406583786	0.5051442980766296	-36.178897857666016	5.571275234222412	651.544677734375	3.862213134765625	1	1	1	0.3570058345794678	1.4071661233901978	-88.65634155273438	441.4406433105469	-479.7980651855469	0.41598251461982727	0.4973139762878418	0.4973375201225281	34.84684753417969	2.41646409034729	647.7276000976562	3.7591705322265625	1	1	1
17	183608490	1662821123210	0.7080281972885132	1.5724648237228394	128.97747802734375	401.7002258300781	-519.53857421875	0.5719735622406006	0.48775261640548706	0.5057618618011475	-36.4109001159668	5.560888767242432	651.841064453125	3.869537353515625	1	1	1	0.35605648159980774	1.4048751592636108	-89.24493408203125	441.9914245605469	-479.24725341796875	0.4164310097694397	0.4972230792045593	0.49795520305633545	34.65974426269531	2.448246479034424	648.0467529296875	3.759429931640625	1	1	1
18	183625145	1662821139865	0.7080194354057312	1.5752322673797607	128.97203063964844	401.034912109375	-520.2039794921875	0.5723459124565125	0.4880196154117584	0.506222665309906	-36.59377670288086	5.470606327056885	652.0623779296875	3.881378173828125	1	1	1	0.36027416586875916	1.4099867343902588	-86.6300048828125	440.7625427246094	-480.47613525390625	0.4167870283126831	0.4973706305027008	0.49841785430908203	34.510498046875	2.3983829021453857	648.28662109375	3.771087646484375	1	1	1
19	183641800	1662821156520	0.7064625024795532	1.5740587711334229	128.0067138671875	401.3171081542969	-519.9218139648438	0.5728175640106201	0.48837780952453613	0.5066105723381042	-36.820072174072266	5.348485946655273	652.2449951171875	3.886566162109375	1	1	1	0.3605215549468994	1.4084066152572632	-86.47660827636719	441.14239501953125	-480.0963134765625	0.4172399938106537	0.49763116240501404	0.498808354139328	34.315284729003906	2.309641122817993	648.4927978515625	3.7766876220703125	1	1	1
20	183658454	1662821173174	0.7053691148757935	1.5701225996017456	127.32881164550781	402.26336669921875	-518.9755249023438	0.5732666254043579	0.4885305166244507	0.5065618753433228	-37.02388381958008	5.295220375061035	652.20947265625	3.886566162109375	1	1	1	0.35628053545951843	1.391552448272705	-89.10607147216797	445.19451904296875	-476.0443115234375	0.41765034198760986	0.49769607186317444	0.4987596571445465	34.127593994140625	2.286989688873291	648.4783935546875	3.7718505859375	1	1	1
21	183675109	1662821189829	0.7090041041374207	1.569435715675354	129.5825958251953	402.4284362792969	-518.8103637695312	0.5738389492034912	0.4887065291404724	0.5077831745147705	-37.32025146484375	5.238894462585449	652.8046875	3.874786376953125	1	1	1	0.3591613173484802	1.4061057567596436	-87.31997680664062	441.69561767578125	-479.54315185546875	0.4181849956512451	0.4977663457393646	0.4999810755252838	33.91657257080078	2.264610767364502	649.10107421875	3.755401611328125	1	1	1
