	device_time_stamp	system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	168260014	159082536943	0.6962921023368835	1.5755681991577148	121.70108795166016	400.9541931152344	-520.2847290039062	0.5807083249092102	0.5021750330924988	0.5131201148033142	-40.61797332763672	0.5981935262680054	655.3021850585938	3.63372802734375	1	1	1	0.3446102738380432	1.3904225826263428	-96.34162902832031	445.46612548828125	-475.772705078125	0.42864447832107544	0.5035566091537476	0.5055726170539856	29.286376953125	0.2743527293205261	652.1289672851562	3.372161865234375	1	1	1
1	168276668	159082553597	0.7000426054000854	1.5758261680603027	124.02639770507812	400.89208984375	-520.3467407226562	0.5805843472480774	0.501247227191925	0.514432966709137	-40.602291107177734	0.9198390245437622	655.96044921875	3.633270263671875	1	1	1	0.3433476388454437	1.3953694105148315	-97.12444305419922	444.2767639160156	-476.9619140625	0.4285619258880615	0.5026845932006836	0.5068868398666382	29.352989196777344	0.5747469067573547	652.7835693359375	3.3958740234375	1	1	1
2	168293323	159082570253	0.7007102370262146	1.5490487813949585	124.4403305053711	407.329833984375	-513.9089965820312	0.5804639458656311	0.5000288486480713	0.5166497826576233	-40.61625289916992	1.343635082244873	657.0693359375	3.6304473876953125	1	1	1	0.34567445516586304	1.4038981199264526	-95.68184661865234	442.226318359375	-479.0123596191406	0.4284779131412506	0.5014984607696533	0.5091043710708618	29.440414428710938	0.9846165180206299	653.8890380859375	3.410614013671875	1	1	1
3	168309978	159082586908	0.6976772546768188	1.5450174808502197	122.55992126464844	408.29901123046875	-512.9397583007812	0.5804769396781921	0.4991174042224884	0.5176278352737427	-40.65306854248047	1.6606299877166748	657.5563354492188	3.635894775390625	1	1	1	0.34975165128707886	1.3987690210342407	-93.15399169921875	443.4595031738281	-477.7792663574219	0.4285135269165039	0.5006132125854492	0.5100827813148499	29.44537353515625	1.2906466722488403	654.3779907226562	3.408721923828125	1	1	1
4	168326632	159082603562	0.695036768913269	1.5531713962554932	120.92278289794922	406.3386535644531	-514.900146484375	0.5805774927139282	0.49902939796447754	0.5179351568222046	-40.70893096923828	1.691426396369934	657.706787109375	3.6477203369140625	1	1	1	0.3432503342628479	1.388805866241455	-97.1847915649414	445.8548583984375	-475.3840026855469	0.4286240041255951	0.5005422234535217	0.5103907585144043	29.40154266357422	1.3153172731399536	654.5340576171875	3.3996734619140625	1	1	1
5	168343287	159082620217	0.6990422010421753	1.5438402891159058	123.40620422363281	408.5820007324219	-512.6567993164062	0.580461859703064	0.4996655583381653	0.5194050073623657	-40.7005615234375	1.4725761413574219	658.4441528320312	3.638671875	1	1	1	0.33923327922821045	1.3929979801177979	-99.67534637451172	444.8469543457031	-476.3918762207031	0.4285401701927185	0.5011789798736572	0.5118626952171326	29.47356414794922	1.0969593524932861	655.2678833007812	3.4119415283203125	1	1	1
6	168359942	159082636872	0.6972894668579102	1.528091311454773	122.31945037841797	412.3683166503906	-508.8704528808594	0.5803999900817871	0.5005775094032288	0.5201939940452576	-40.695674896240234	1.1567158699035645	658.84033203125	3.632720947265625	1	1	1	0.3363727927207947	1.3877977132797241	-101.44886779785156	446.0971984863281	-475.1416320800781	0.42847904562950134	0.5020700693130493	0.512652575969696	29.520118713378906	0.7897278666496277	655.66162109375	3.4132232666015625	1	1	1
7	168376596	159082653526	0.6957187652587891	1.5344858169555664	121.34561920166016	410.8310241699219	-510.4078063964844	0.580476701259613	0.5010084509849548	0.5201772451400757	-40.730224609375	1.0069063901901245	658.830078125	3.6436309814453125	1	1	1	0.3354770839214325	1.3846263885498047	-102.00420379638672	446.859619140625	-474.379150390625	0.4285494089126587	0.5024862885475159	0.5126357674598694	29.487709045410156	0.6458196640014648	655.65478515625	3.413848876953125	1	1	1
8	168393251	159082670181	0.6952590942382812	1.523536205291748	121.06060028076172	413.46356201171875	-507.775390625	0.5805209875106812	0.5008641481399536	0.520524263381958	-40.76148986816406	1.0572642087936401	659.0018920898438	3.642669677734375	1	1	1	0.3394918739795685	1.3913205862045288	-99.5150375366211	445.250244140625	-475.988525390625	0.4286021590232849	0.5023137927055359	0.5129832625389099	29.47113037109375	0.7055642008781433	655.8294067382812	3.4145660400390625	1	1	1
9	168409906	159082686836	0.6975346803665161	1.5158131122589111	122.47148132324219	415.3203430175781	-505.91864013671875	0.5806279182434082	0.5001529455184937	0.5202343463897705	-40.80242156982422	1.3039922714233398	658.8536987304688	3.634735107421875	1	1	1	0.33974742889404297	1.3967719078063965	-99.3565673828125	443.9396667480469	-477.2991943359375	0.4287010431289673	0.5015668272972107	0.5126926302909851	29.418548583984375	0.9634638428688049	655.6859741210938	3.4123992919921875	1	1	1
