	device_time_stamp	system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	1620311141343278	772086317025													0	0	0													0	0	0
1	1620311141359944	772086333692													0	0	0													0	0	0
2	1620311141376542	772086350291													0	0	0													0	0	0
3	1620311141393208	772086366959													0	0	0													0	0	0
4	1620311141409790	772086383542													0	0	0													0	0	0
5	1620311141426456	772086400209													0	0	0													0	0	0
6	1620311141443352	772086417107													0	0	0													0	0	0
7	1620311141460018	772086433774													0	0	0													0	0	0
8	1620311141477133	772086450890													0	0	0													0	0	0
9	1620311141493799	772086467558													0	0	0													0	0	0
10	1620311141511023	772086484783													0	0	0													0	0	0
11	1620311141527689	772086501451													0	0	0													0	0	0
12	1620311141543654	772086517417													0	0	0													0	0	0
13	1620311141560320	772086534084													0	0	0													0	0	0
14	1620311141576663	772086550428													0	0	0													0	0	0
15	1620311141593329	772086567096													0	0	0													0	0	0
16	1620311141609786	772086583554													0	0	0													0	0	0
17	1620311141626452	772086600221													0	0	0													0	0	0
18	1620311141642978	772086616749													0	0	0													0	0	0
19	1620311141659644	772086633416													0	0	0													0	0	0
20	1620311141676256	772086650029													0	0	0													0	0	0
21	1620311141692922	772086666697													0	0	0													0	0	0
22	1620311141709520	772086683296													0	0	0													0	0	0
23	1620311141726186	772086699963													0	0	0													0	0	0
24	1620311141743088	772086716867													0	0	0													0	0	0
25	1620311141759754	772086733534													0	0	0													0	0	0
26	1620311141776873	772086750654													0	0	0													0	0	0
27	1620311141793539	772086767322													0	0	0													0	0	0
28	1620311141810765	772086784549													0	0	0													0	0	0
29	1620311141827431	772086801217													0	0	0													0	0	0
30	1620311141843398	772086817185													0	0	0													0	0	0
31	1620311141860064	772086833852													0	0	0													0	0	0
32	1620311141876401	772086850190													0	0	0													0	0	0
33	1620311141893067	772086866858													0	0	0													0	0	0
34	1620311141909533	772086883325													0	0	0													0	0	0
35	1620311141926199	772086899992													0	0	0													0	0	0
36	1620311141942786	772086916581													0	0	0													0	0	0
37	1620311141959452	772086933248													0	0	0													0	0	0
38	1620311141976031	772086949828													0	0	0													0	0	0
39	1620311141992697	772086966496													0	0	0													0	0	0
40	1620311142009279	772086983079													0	0	0													0	0	0
41	1620311142025945	772086999746													0	0	0													0	0	0
42	1620311142042840	772087016643													0	0	0													0	0	0
43	1620311142059506	772087033310													0	0	0													0	0	0
44	1620311142076620	772087050425													0	0	0													0	0	0
45	1620311142093286	772087067093													0	0	0													0	0	0
46	1620311142110509	772087084317													0	0	0													0	0	0
47	1620311142127175	772087100985													0	0	0													0	0	0
48	1620311142143203	772087117014													0	0	0													0	0	0
49	1620311142159869	772087133681													0	0	0													0	0	0
50	1620311142176175	772087149988													0	0	0													0	0	0
51	1620311142192841	772087166656													0	0	0													0	0	0
52	1620311142209286	772087183102													0	0	0													0	0	0
53	1620311142225952	772087199769													0	0	0													0	0	0
54	1620311142242535	772087216354													0	0	0													0	0	0
55	1620311142259201	772087233021													0	0	0													0	0	0
56	1620311142275784	772087249605													0	0	0													0	0	0
57	1620311142292450	772087266273													0	0	0													0	0	0
58	1620311142309026	772087282850													0	0	0													0	0	0
59	1620311142325692	772087299517													0	0	0													0	0	0
60	1620311142342584	772087316411													0	0	0													0	0	0
61	1620311142359250	772087333078													0	0	0													0	0	0
62	1620311142376364	772087350193													0	0	0													0	0	0
63	1620311142393030	772087366861													0	0	0													0	0	0
64	1620311142410253	772087384085													0	0	0													0	0	0
65	1620311142426919	772087400752													0	0	0													0	0	0
66	1620311142442948	772087416783													0	0	0													0	0	0
67	1620311142459614	772087433450													0	0	0													0	0	0
68	1620311142475918	772087449755													0	0	0													0	0	0
69	1620311142492584	772087466423													0	0	0													0	0	0
70	1620311142509028	772087482868													0	0	0													0	0	0
71	1620311142525694	772087499535													0	0	0													0	0	0
72	1620311142542276	772087516119													0	0	0													0	0	0
73	1620311142558942	772087532786													0	0	0													0	0	0
74	1620311142575520	772087549365													0	0	0													0	0	0
75	1620311142592186	772087566033													0	0	0													0	0	0
76	1620311142608766	772087582614													0	0	0													0	0	0
77	1620311142625432	772087599281													0	0	0													0	0	0
78	1620311142642326	772087616177													0	0	0													0	0	0
79	1620311142658992	772087632844													0	0	0													0	0	0
80	1620311142676105	772087649958													0	0	0													0	0	0
81	1620311142692771	772087666626													0	0	0													0	0	0
82	1620311142710000	772087683856													0	0	0													0	0	0
83	1620311142726666	772087700523													0	0	0													0	0	0
84	1620311142742692	772087716551													0	0	0													0	0	0
85	1620311142759358	772087733218													0	0	0													0	0	0
86	1620311142775663	772087749524													0	0	0													0	0	0
87	1620311142792329	772087766192													0	0	0													0	0	0
88	1620311142808780	772087782644													0	0	0													0	0	0
89	1620311142825446	772087799311													0	0	0													0	0	0
90	1620311142842023	772087815890													0	0	0													0	0	0
91	1620311142858689	772087832557													0	0	0													0	0	0
92	1620311142875265	772087849134													0	0	0													0	0	0
93	1620311142891931	772087865802													0	0	0													0	0	0
94	1620311142908573	772087882445													0	0	0													0	0	0
95	1620311142925239	772087899112													0	0	0													0	0	0
96	1620311142942104	772087915979													0	0	0													0	0	0
97	1620311142958770	772087932646													0	0	0													0	0	0
98	1620311142975867	772087949744													0	0	0													0	0	0
99	1620311142992533	772087966412													0	0	0													0	0	0
100	1620311143009747	772087983627													0	0	0													0	0	0
101	1620311143026413	772088000294													0	0	0													0	0	0
102	1620311143042437	772088016320													0	0	0													0	0	0
103	1620311143059103	772088032987													0	0	0													0	0	0
104	1620311143075407	772088049292													0	0	0													0	0	0
105	1620311143092073	772088065960													0	0	0													0	0	0
106	1620311143108523	772088082411													0	0	0													0	0	0
107	1620311143125189	772088099078													0	0	0													0	0	0
108	1620311143141768	772088115659													0	0	0													0	0	0
109	1620311143158434	772088132326													0	0	0													0	0	0
110	1620311143175009	772088148902													0	0	0													0	0	0
111	1620311143191675	772088165570													0	0	0													0	0	0
112	1620311143208316	772088182212													0	0	0													0	0	0
113	1620311143224982	772088198879													0	0	0													0	0	0
114	1620311143241844	772088215743													0	0	0													0	0	0
115	1620311143258510	772088232410													0	0	0													0	0	0
116	1620311143275608	772088249509													0	0	0													0	0	0
117	1620311143292274	772088266177													0	0	0													0	0	0
118	1620311143309490	772088283394													0	0	0													0	0	0
119	1620311143326156	772088300061													0	0	0													0	0	0
120	1620311143342182	772088316089													0	0	0													0	0	0
121	1620311143358848	772088332756													0	0	0													0	0	0
122	1620311143375150	772088349059													0	0	0													0	0	0
123	1620311143391816	772088365727													0	0	0													0	0	0
124	1620311143408322	772088382234													0	0	0													0	0	0
125	1620311143424988	772088398901													0	0	0													0	0	0
