	device_time_stamp	system_time_stamp	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	1619105859238838	1213780511953	0.517117440700531	0.43448230624198914	5.785696983337402	176.4594268798828	51.11818313598633	0.5828339457511902	0.5043651461601257	0.5300244092941284	-22.133636474609375	-3.9718611240386963	609.00732421875	3.4280242919921875	1	1	1	0.5348368883132935	0.38226839900016785	11.77486801147461	189.81573486328125	56.24506378173828	0.4148181080818176	0.5071375370025635	0.5325982570648193	35.24057388305664	-4.64404296875	609.7794799804688	3.31549072265625	1	1	1
1	1619105859255579	1213780528695	0.5146615505218506	0.434163898229599	4.955611705780029	176.54087829589844	51.149444580078125	0.5828245282173157	0.5043718814849854	0.5302691459655762	-22.132280349731445	-3.9737050533294678	609.0807495117188	3.439971923828125	1	1	1	0.5346084833145142	0.3815080225467682	11.697672843933105	190.01025390625	56.31972885131836	0.41482383012771606	0.507132351398468	0.5326061844825745	35.23872375488281	-4.642992973327637	609.7818603515625	3.327301025390625	1	1	1
2	1619105859272205	1213780545321	0.5166414976119995	0.43806272745132446	5.624820709228516	175.54356384277344	50.76662063598633	0.5828493237495422	0.5044003129005432	0.5297304391860962	-22.136659622192383	-3.9785337448120117	608.9191284179688	3.447967529296875	1	1	1	0.5325140357017517	0.37928953766822815	10.989734649658203	190.57774353027344	56.537559509277344	0.4148535430431366	0.507134735584259	0.5328570604324341	35.23199462890625	-4.644001007080078	609.8571166992188	3.3381500244140625	1	1	1
3	1619105859288833	1213780561949	0.5082825422286987	0.4473932385444641	2.7995009422302246	173.1568145751953	49.85045623779297	0.582892656326294	0.5044856071472168	0.5293373465538025	-22.148441314697266	-3.995318651199341	608.8012084960938	3.5131378173828125	1	1	1	0.5320917367935181	0.3750784993171692	10.84699821472168	191.65492248535156	56.95104217529297	0.41490402817726135	0.5071555376052856	0.5330839157104492	35.21783447265625	-4.64875602722168	609.9251708984375	3.317779541015625	1	1	1
4	1619105859305456	1213780578573	0.5162606835365295	0.4358869194984436	5.496119976043701	176.10012817382812	50.980262756347656	0.5829851627349854	0.5045831799507141	0.5297196507453918	-22.18291664123535	-4.016030311584473	608.9158935546875	3.42462158203125	1	1	1	0.5338935256004333	0.37486013770103455	11.456018447875977	191.7107696533203	56.97248077392578	0.4149971604347229	0.507171630859375	0.5339009761810303	35.197113037109375	-4.653779029846191	610.1702880859375	3.326019287109375	1	1	1
5	1619105859322080	1213780595197	0.5180956125259399	0.42397812008857727	6.116325378417969	179.14639282226562	52.14958572387695	0.5831318497657776	0.504665732383728	0.5311077833175659	-22.243589401245117	-4.035531997680664	609.3323364257812	3.404510498046875	1	1	1	0.5400230884552002	0.3779700994491577	13.52780818939209	190.91525268554688	56.667118072509766	0.41515815258026123	0.507135272026062	0.5338323712348938	35.14116668701172	-4.646048069000244	610.1497192382812	3.328338623046875	1	1	1
6	1619105859338842	1213780611959	0.5132659077644348	0.4362705945968628	4.483886241912842	176.00198364257812	50.942588806152344	0.5832295417785645	0.5047080516815186	0.5314487814903259	-22.279537200927734	-4.044824123382568	609.4346313476562	3.4354095458984375	1	1	1	0.537600576877594	0.3789481520652771	12.708990097045898	190.66506958007812	56.57107925415039	0.4152810871601105	0.5071334838867188	0.5330712795257568	35.08884048461914	-4.643960475921631	609.92138671875	3.309661865234375	1	1	1
7	1619105859355457	1213780628575	0.5179411768913269	0.43177109956741333	6.064108848571777	177.1529541015625	51.384395599365234	0.5833798050880432	0.5048024654388428	0.5300148725509644	-22.319843292236328	-4.061445713043213	609.0044555664062	3.418731689453125	1	1	1	0.5351715087890625	0.37525492906570435	11.88797664642334	191.6097869873047	56.933719635009766	0.41538748145103455	0.507106602191925	0.5332879424095154	35.055423736572266	-4.638833999633789	609.9863891601562	3.3157196044921875	1	1	1
8	1619105859372084	1213780645202	0.5120595097541809	0.44713395833969116	4.07611608505249	173.22312927246094	49.87591552734375	0.5835374593734741	0.504854679107666	0.5304417014122009	-22.376935958862305	-4.072903156280518	609.1325073242188	3.4632415771484375	1	1	1	0.534579336643219	0.3805055320262909	11.687825202941895	190.26669311523438	56.41816329956055	0.4155448079109192	0.5070428252220154	0.5344443917274475	35.01731872558594	-4.62808084487915	610.3333129882812	3.3212432861328125	1	1	1
9	1619105859388719	1213780661837	0.5175233483314514	0.4295022785663605	5.922883033752441	177.7333221435547	51.60717010498047	0.5836763978004456	0.5048492550849915	0.5315449833869934	-22.432872772216797	-4.0738043785095215	609.4635009765625	3.41302490234375	1	1	1	0.5371319055557251	0.38244178891181946	12.550581932067871	189.77139282226562	56.2280387878418	0.41573554277420044	0.5069537162780762	0.5333817601203918	34.93777847290039	-4.6073126792907715	610.0145263671875	3.3351287841796875	1	1	1
